200 2
-0.39329 1.5701
-0.37596 1.6464
-0.35761 1.7103
-0.3422 1.7712
-0.32282 1.8292
-0.30564 1.8761
-0.28553 1.9371
-0.2663 2.0002
-0.24575 2.0362
-0.22578 2.0824
-0.20303 2.1088
-0.1816 2.1235
-0.16266 2.1499
-0.13946 2.1822
-0.11788 2.2043
-0.096156 2.2417
-0.072668 2.2688
-0.049913 2.2718
-0.027159 2.274
-0.0035233 2.2564
0.018204 2.2263
0.040665 2.194
0.062832 2.1654
0.083678 2.1345
0.10482 2.0978
0.12508 2.0574
0.14768 2.0075
0.1675 1.9598
0.18468 1.9062
0.20362 1.8593
0.22211 1.8182
0.24281 1.7653
0.25779 1.7081
0.27408 1.6449
0.29243 1.5664
0.30667 1.4702
0.32165 1.4108
0.33456 1.3315
0.34719 1.2552
0.35776 1.2111
0.37361 1.1487
0.38257 1.0731
0.39241 1.0012
0.40371 0.91459
0.41222 0.81476
0.41942 0.74209
0.42602 0.66135
0.4316 0.57767
0.43821 0.5028
0.44349 0.42133
0.44672 0.33251
0.44848 0.24957
0.45113 0.1747
0.45318 0.10863
0.45304 0.061657
0.45259 0.0058721
0.45304 -0.061657
0.45289 -0.1424
0.45333 -0.2481
0.44775 -0.36701
0.44364 -0.47931
0.43865 -0.58575
0.4319 -0.67603
0.42426 -0.74429
0.41633 -0.81476
0.40797 -0.87642
0.3996 -0.94908
0.38918 -1.024
0.37875 -1.1025
0.36833 -1.1832
0.35438 -1.2632
0.34191 -1.3256
0.32796 -1.391
0.3146 -1.4541
0.29874 -1.5077
0.28421 -1.5715
0.26762 -1.6325
0.25118 -1.6882
0.2343 -1.7455
0.2158 -1.8042
0.19774 -1.849
0.17969 -1.893
0.15943 -1.9312
0.13961 -1.9569
0.12038 -1.9855
0.101 -2.0097
0.080301 -2.0296
0.059602 -2.0516
0.038462 -2.067
0.018791 -2.0809
-0.0023489 -2.0868
-0.023929 -2.0919
-0.044628 -2.0853
-0.065915 -2.0736
-0.085733 -2.0582
-0.10761 -2.0318
-0.12684 -2.0053
-0.14666 -1.9745
-0.16736 -1.9268
-0.18571 -1.8783
-0.20523 -1.8328
-0.2227 -1.7668
-0.23856 -1.7286
-0.25764 -1.6919
-0.27423 -1.6376
-0.28788 -1.5994
-0.30697 -1.5407
-0.3215 -1.4519
-0.3353 -1.3535
-0.34925 -1.275
-0.3604 -1.1796
-0.37215 -1.1091
-0.37949 -1.057
-0.39461 -0.9968
-0.40268 -0.92339
-0.41149 -0.84779
-0.41971 -0.75971
-0.42676 -0.65181
-0.43336 -0.56519
-0.43865 -0.4661
-0.44144 -0.37068
-0.4454 -0.28113
-0.44819 -0.19672
-0.44951 -0.12478
-0.44951 -0.070466
-0.44922 -0.022755
-0.44995 0.031563
-0.44995 0.096156
-0.44951 0.18791
-0.44775 0.30388
-0.44291 0.4316
-0.4388 0.55345
-0.4316 0.66208
-0.42456 0.75237
-0.41589 0.8221
-0.40738 0.89256
-0.39872 0.94908
-0.38859 1.0166
-0.37875 1.0863
-0.36627 1.1553
-0.356 1.2383
-0.3422 1.3132
-0.32884 1.3829
-0.31533 1.4563
-0.2983 1.5135
-0.2845 1.5583
-0.2685 1.6119
-0.25074 1.6545
-0.23591 1.6831
-0.21786 1.7301
-0.20009 1.7587
-0.18189 1.7807
-0.16559 1.8123
-0.14607 1.8409
-0.12772 1.8666
-0.10907 1.8952
-0.090431 1.9231
-0.070025 1.9283
-0.050794 1.9305
-0.030976 1.9268
-0.012038 1.9121
0.0061657 1.8967
0.025691 1.8945
0.045215 1.8673
0.063125 1.8468
0.081476 1.8218
0.10144 1.7807
0.11627 1.7323
0.13521 1.6934
0.15165 1.6435
0.16853 1.6002
0.18233 1.5635
0.19848 1.5546
0.21375 1.515
0.23004 1.468
0.24208 1.4218
0.26278 1.3315
0.26909 1.2324
0.28274 1.1627
0.29434 1.0885
0.30447 1.0122
0.31357 0.98652
0.32414 0.93587
0.33222 0.88082
0.34146 0.82357
0.35013 0.7531
0.35849 0.65841
0.3626 0.57033
0.36789 0.48959
0.37303 0.40958
0.37611 0.35306
0.37934 0.30168
0.38213 0.24002
0.38345 0.18497
0.38771 0.12698
0.38668 0.06753
0.38653 0.020552
0.38668 -0.038903
0.38653 -0.1035
0.38639 -0.18424
