91 2
20000	31000
20000	40000
20000	59000
17000	40000
30000	26000
52000	12000
73000	9000
77000	6000
86000	12000
63000	22000
72000	36000
87000	36000
63000	32000
40000	24000
17000	16000
24000	10000
30000	5000
12000	6000
151000	22000
128000	39000
87000	54000
47000	71000
23000	68000
5000	40000
7000	17000
11000	12000
26000	9000
67000	9000
51000	23000
70000	34000
101000	36000
91000	46000
80000	46000
67000	40000
40000	27000
10000	13000
10000	14000
24000	23000
47000	36000
80000	53000
136000	73000
136000	79000
98000	52000
60000	38000
20000	28000
30000	21000
40000	17000
51000	23000
60000	36000
76000	46000
83000	52000
37000	41000
16000	34000
9000	21000
5000	12000
12000	9000
5000	13000
20000	21000
50000	36000
68000	60000
50000	63000
30000	42000
26000	4000
24000	4000
33000	11000
57000	17000
67000	28000
72000	38000
53000	44000
35000	45000
27000	38000
12000	30000
5000	18000
6000	6000
20000	5000
58000	12000
67000	20000
76000	30000
80000	40000
61000	46000
37000	52000
9000	54000
2000	47000
2000	33000
3000	21000
7000	12000
24000	11000
73000	25000
88000	30000
73000	36000
19000	43000
