1 0.418739 0 1 10005
2 2845.52 1 2 27729
3 0.250727 2 3 51515
4 0.138635 2 4 77043
5 0.0960384 4 5 106596
6 0.0838769 5 6 135338
7 0.070911 6 7 165258
8 0.0784714 8 8 197561
9 0.0766868 10 9 225917
10 0.0786111 12 10 251853
11 0.061429 14 11 278676
12 0.0614898 17 12 308000
13 0.0616426 20 13 340477
14 0.0519123 23 14 372405
15 0.0458829 25 15 403008
16 0.0447358 28 16 432104
17 0.0308787 31 17 463553
18 0.0310016 34 18 496367
19 0.0293972 37 19 530378
20 0.0292736 41 20 566374
21 0.0294476 44 21 603908
22 0.0291642 48 22 642440
23 0.029677 51 23 681691
24 0.0294744 54 24 717515
25 0.0293262 58 25 754755
26 0.0291247 61 26 793461
27 0.0295109 65 27 834919
28 0.0302148 69 28 876018
29 0.0214989 73 29 919194
30 0.0192739 78 30 968593
31 0.0195372 82 31 1012872
32 0.019879 85 32 1057070
33 0.0191032 90 33 1107228
34 0.0197436 94 34 1157928
35 0.0190188 99 35 1213859
36 0.019671 104 36 1273469
37 0.0194882 109 37 1329577
38 0.0198019 114 38 1383254
39 0.0194931 119 39 1437260
40 0.0197656 124 40 1493775
