1 0.104167 1 1 10010
2 0.0551374 1 2 23704
3 0.0375662 2 3 37812
4 0.0368436 2 4 53707
5 0.0420847 3 5 71362
6 0.062901 4 6 93716
7 0.0609715 5 7 122306
8 0.03003 6 8 147830
9 0.0204916 7 9 174609
10 0.0212978 9 10 207539
11 0.0183977 10 11 235773
12 0.0189304 11 12 261480
13 0.0205869 13 13 289380
14 0.0194145 14 14 316862
15 0.0207983 15 15 347323
16 0.0201108 17 16 378406
17 0.0201538 18 17 409707
18 0.0223556 20 18 443156
19 0.0215805 22 19 479509
20 0.021696 23 20 518914
21 0.0214052 25 21 561122
22 0.0223915 27 22 608215
23 0.0219922 29 23 652708
24 0.0216756 32 24 702006
25 0.0219535 34 25 751601
26 0.0223396 36 26 803268
27 0.0217989 38 27 849808
28 0.0220404 41 28 900295
29 0.0221115 43 29 951645
30 0.0221066 46 30 1004069
31 3.52042e-017 48 31 1059047
