1 0.307048 0 1 10010
2 0.0733515 1 2 24890
3 0.0765825 2 3 40539
4 0.0815504 2 4 56382
5 0.084245 3 5 75447
6 0.08873 4 6 94154
7 0.0886313 5 7 119480
8 0.0835776 6 8 151087
9 0.0527313 8 9 178218
10 0.0528934 9 10 205881
11 0.0506859 10 11 236045
12 0.0465447 12 12 268368
13 0.0510604 13 13 304165
14 0.0455735 15 14 342369
15 0.0499293 17 15 378824
16 0.0506689 18 16 413388
17 0.00980971 20 17 445035
18 0.00979059 21 18 473339
19 0.00954325 23 19 502816
20 0.0102028 24 20 532114
21 0.00950977 26 21 561788
22 6.5635e-017 27 22 592857
