1 9 17 7 23 5 11 5 13 5 9 
2 13 15 9 23 7 13 7 5 11 15 
3 15 13 13 13 15 17 21 9 17 19 
4 13 15 13 17 19 19 23 13 25 19 
5 21 19 19 17 9 13 13 17 27 13 
6 19 19 21 19 23 13 21 19 21 17 
7 23 25 23 19 17 19 27 19 23 19 
8 23 23 25 19 27 17 33 19 21 21 
9 23 21 29 23 27 11 29 19 19 19 
10 25 25 29 23 27 15 31 19 27 23 
11 21 21 29 25 29 17 31 15 15 21 
12 23 19 33 23 27 11 31 17 15 17 
13 23 25 33 23 27 15 33 15 15 19 
14 23 23 33 25 27 13 29 17 19 19 
15 23 29 33 23 27 13 31 17 7 19 
16 23 29 33 21 25 19 33 17 9 21 
17 21 29 35 25 27 13 29 17 19 21 
18 21 35 35 19 27 19 29 19 17 19 
19 23 35 35 19 25 17 17 19 27 21 
20 23 35 35 21 25 19 15 21 25 21 
21 21 35 35 19 27 17 13 17 21 21 
22 23 37 37 17 15 17 29 17 23 19 
23 19 37 33 19 15 17 25 15 27 19 
24 19 35 35 21 15 19 27 19 27 23 
25 21 35 35 23 15 19 25 17 27 23 
26 19 35 37 23 15 19 25 19 27 25 
27 21 37 37 19 15 23 23 27 31 23 
28 19 39 35 27 17 23 23 27 31 21 
29 19 37 35 27 17 21 25 29 31 19 
30 19 33 35 31 15 19 23 31 31 19 
31 19 17 35 33 15 25 23 35 33 19 
