1 0.653671 1 1 10005
2 3096.25 1 2 24300
3 4088.86 2 3 42203
4 0.0901485 3 4 61832
5 0.105717 5 5 85290
6 0.0400324 6 6 110338
7 0.0580198 8 7 137535
8 0.0644114 9 8 171126
9 0.061391 12 9 206006
10 0.063951 14 10 241889
11 0.0458676 16 11 272882
12 0.0520703 18 12 306892
13 0.0464094 20 13 334531
14 0.0485871 22 14 359984
15 0.0487174 24 15 385725
16 0.0307486 27 16 414150
17 0.0307932 29 17 443677
18 0.0309691 32 18 473992
19 0.0314657 35 19 507185
20 0.0316148 38 20 539990
21 0.0313183 42 21 575331
22 0.0317164 45 22 612539
23 0.0309192 49 23 648513
24 0.0314689 52 24 684875
25 0.0305289 56 25 722772
26 0.0312064 60 26 760224
27 3.66274e-017 64 27 799903
